date_time,wind_direction,sky_condition,precipitation_form,wind_speed,humidity,low_temp,high_temp,Precipitation_Probability,number_of_rentals
2018-04-01,207.5,4,0,3.05,75,12.6,21,30,22994
2018-04-02,208.317,2.95,0,3.278,69.833,12.812,19,19.5,28139
2018-04-03,213.516,2.911,0,2.69,74.879,10.312,15.316,19.113,26817
2018-04-04,143.836,3.692,0.425,3.138,71.849,8.312,12.368,43.493,26034
2018-04-05,95.905,4,0.723,3.186,73.784,5.875,10.421,63.378,2833
2018-04-06,256.412,3.466,0.358,3.734,68.885,2.5,9.895,40.068,13297
2018-04-07,288.858,1.912,0,4.824,45.541,1.938,10.947,9.122,13088
2018-04-08,200.939,2.405,0.054,3.865,53.243,4.312,14.211,15.676,7758
2018-04-09,165.196,2,0,2.412,55.473,8.188,17.474,10,23925
2018-04-10,171.541,2.919,0.088,5.607,54.054,8.375,18.474,21.824,20423
2018-04-11,249.716,1.892,0.122,4.66,59.02,7.375,17.895,13.784,25557
2018-04-12,240.878,1.345,0,3.07,45.777,7,16.737,3.446,28885
2018-04-13,141.723,2.257,0,2.47,41.318,8.188,13.579,12.568,29497
2018-04-14,159.5,4,0.473,3.251,68.209,6.75,13.211,50.541,8216
2018-04-15,302.831,2.608,0,3.495,63.446,6.188,16.211,16.081,12721
2018-04-16,285.696,1.399,0,2.486,46.892,6.562,19.368,3.986,29589
2018-04-17,206.764,1.135,0,2.473,42.466,7.312,19.842,1.351,28236
2018-04-18,231.115,1.27,0,2.581,40.743,7.75,21.053,2.703,23499
2018-04-19,211.027,1,0,2.749,46.993,9.375,23,0,20400
2018-04-20,164.601,1,0,2.27,53.378,11.75,24.421,0,28351
2018-04-21,198.764,1.304,0,2.6,44.324,12.812,19.368,3.041,33144
2018-04-22,92.75,3.851,0.284,2.924,62.23,10.438,14.421,37.162,8095
2018-04-23,79.554,4,1,4.127,81.182,9.25,15.158,75.608,1037
2018-04-24,57.149,3.595,0.331,3.586,66.791,8.688,19.737,36.554,24560
2018-04-25,188.081,1.257,0,2.548,41.622,9.75,21.526,2.568,33728
2018-04-26,207.446,1.885,0,2.687,48.885,9.062,21.947,8.851,32547
2018-04-27,213.682,1.716,0,2.486,55.845,9.875,22.789,7.162,32989
2018-04-28,220.061,1,0,2.642,50.642,10.688,23,0,33738
2018-04-29,185.372,1.669,0,2.8,46.047,12.625,23.474,6.689,35159
2018-04-30,192.196,2.845,0,2.409,61.655,15.5,23.842,18.446,32629
2018-05-01,71.833,4,0,2.267,69.167,13.4,20,30,34593
2018-05-02,268.55,4,0.667,2.917,81.75,10.25,18.474,56,8374
2018-05-03,294.452,3.056,0.073,3.781,58.992,9.75,18.947,22.742,25963
2018-05-04,266.452,1.349,0,4.153,46.267,11.625,20.895,3.493,34058
2018-05-05,198.122,1.365,0,3.469,52.973,13.312,21.053,3.649,37389
2018-05-06,108.297,3.946,0.473,3.07,76.25,13.812,22.842,47.23,19809
2018-05-07,282.108,2.892,0,2.63,51.52,13.188,23.684,18.919,40026
2018-05-08,116.818,1.608,0,3.209,48.986,11,21.789,6.081,33738
2018-05-09,159.676,1.23,0,2.648,48.142,10.812,21.211,2.297,37851
2018-05-10,225.446,1.405,0,2.651,52.331,11.75,20.316,4.054,36549
2018-05-11,223.081,2.514,0,2.351,57.162,13.438,19.474,15.135,33923
2018-05-12,154.541,3.946,0.588,2.59,75.405,13.938,21.632,54.392,3551
2018-05-13,230.446,3.108,0.257,2.659,71.757,13.75,25.263,32.162,35668
2018-05-14,200.419,1.358,0,2.533,61.115,16.438,26,3.581,35918
2018-05-15,171.453,2.399,0,2.223,57.872,19,25,13.986,36476
2018-05-16,191.108,4,0.797,2.815,85.405,19.688,23.105,66.554,7072
2018-05-17,205.378,4,1,2.451,88.885,16.062,22.526,79.257,3802
2018-05-18,166.149,3.743,0.554,2.816,79.054,13,22.895,50.473,19629
2018-05-19,73.811,1.716,0,2.991,48.074,12.562,23.947,7.162,43471
2018-05-20,71.831,2.196,0,2.6,38.716,12.938,23.316,11.959,39036
2018-05-21,138.419,1.845,0,2.435,44.426,15,23.526,8.446,42039
2018-05-22,145.297,3.527,0.142,2.323,64.257,14.062,22.632,29.595,17444
2018-05-23,287.858,2.189,0.358,3.638,58.682,13,23.895,26.554,35975
2018-05-24,198.25,1,0,3.22,52.804,14.312,25.316,0,36858
2018-05-25,191.48,1.858,0,2.689,49.189,16.062,27.053,8.581,37569
2018-05-26,201.034,1.189,0,2.436,50.372,16.625,26.947,1.892,37761
2018-05-27,225.541,2.608,0,2.259,52.568,16.938,26.368,16.081,39534
2018-05-28,259.128,2.601,0,2.242,53.108,16.875,26.368,16.014,40775
2018-05-29,242.351,2.75,0.007,2.572,66.588,15.875,25.211,18.176,29925
2018-05-30,238.02,2.514,0,2.949,67.297,15.5,27,15.405,39214
2018-05-31,199.655,1.473,0,2.367,61.216,17.25,28.842,4.73,41619
2018-06-01,251.667,1,0,3.7,42.5,17.6,29.5,0,41970
2018-06-02,234.433,1.183,0,2.743,43.167,17.75,29,1.833,41677
2018-06-03,245.355,1.565,0,2.309,43.992,18.062,27.737,5.645,40565
2018-06-04,219.63,2.767,0,2.503,50.445,18.75,27.474,17.671,44014
2018-06-05,210.453,2.899,0,2.404,58.547,18.938,28.632,18.986,44118
2018-06-06,257.466,1.574,0,2.432,58.818,18,27.895,5.743,40440
2018-06-07,275.115,1.527,0,2.438,64.324,18.25,27.737,5.27,42038
2018-06-08,269.284,2.419,0,2.411,68.446,18.062,27.579,14.189,46516
2018-06-09,141.568,3.047,0,2.347,60.946,17.188,26.737,20.473,32839
2018-06-10,75.007,3.838,0.196,2.876,59.899,16.688,25.632,35,39277
2018-06-11,76.797,3.419,0.061,3.18,58.986,16.25,25.737,26.892,30605
2018-06-12,252.372,2.568,0,2.756,57.939,17.5,27.526,15.878,46201
2018-06-13,227.277,2.243,0,2.335,63.007,18.375,28.263,12.432,49116
2018-06-14,130.142,3.014,0.027,2.795,63.277,17.688,27.895,21.216,30511
2018-06-15,101.264,2.547,0.007,3.094,51.351,17.438,28.158,15.676,45103
2018-06-16,116.932,1.554,0,2.711,50.845,19.125,28.842,5.541,46457
2018-06-17,219.811,2.851,0,2.317,56.25,19.562,28.789,18.514,43484
2018-06-18,192.946,1.858,0,2.341,56.351,18.938,28.579,8.581,36316
2018-06-19,236.372,2.507,0,2.455,60.405,18.438,27.684,15.068,47296
2018-06-20,271.338,2.426,0,2.705,66.655,17.75,28.789,14.257,46612
2018-06-21,256.405,1.338,0,3.235,61.926,18.75,30,3.378,47762
2018-06-22,204.372,1.405,0,2.492,55.574,19.688,30.263,4.054,47478
2018-06-23,233.378,2.885,0,2.456,53.682,20.438,31.526,18.851,45663
2018-06-24,222.932,1.635,0,2.798,60.98,21.062,31.526,6.351,39548
2018-06-25,222.73,2.149,0,2.141,56.689,20.812,27.895,11.486,46565
2018-06-26,181.939,3.851,0.723,3.526,76.351,21.125,26.789,64.865,6391
2018-06-27,223.027,3.595,0.25,3.367,77.872,21.375,28.263,36.419,41128
2018-06-28,194.905,3.068,0.068,2.462,77.432,22.188,28.053,23.378,27757
2018-06-29,196.047,3.142,0.142,2.237,74.628,21.812,27.474,26.351,42765
2018-06-30,151.669,3.642,0.568,2.424,76.047,22,26.368,50.27,26911
2019-04-01,262.833,2.167,0,3.2,40,2.2,11.667,11.667,37660
2019-04-02,281.567,1.85,0,2.975,43.25,2.562,12.737,8.5,42029
2019-04-03,262,1.097,0,2.615,44.798,4.625,15.368,0.968,43257
2019-04-04,214.253,1,0,4.329,49.623,6.75,16.053,0,45681
2019-04-05,266.649,1.77,0,4.916,43.176,6.125,15.579,7.703,45643
2019-04-06,124.77,3.595,0.378,1.59,52.196,6.562,16.211,38.176,25902
2019-04-07,181.588,2.743,0.02,1.419,47.568,7,17.158,18.041,55943
2019-04-08,298.669,1.514,0,2.661,36.014,6.75,15,5.135,52643
2019-04-09,115.277,2.946,0.088,2.744,43.919,5.375,12.316,22.973,24734
2019-04-10,122.054,4,0.318,2.972,70.473,5.25,13.579,41.486,26421
2019-04-11,232.223,2.676,0,1.263,55.236,5.812,16.684,16.757,51013
2019-04-12,238.412,1.973,0,1.548,48.581,6.5,16.684,9.73,55125
2019-04-13,205.986,2.311,0,1.628,43.074,6.812,15.421,13.108,57020
2019-04-14,236.703,3.527,0.466,4.127,53.818,5.875,16.947,42.838,28467
2019-04-15,246.959,1,0,2.699,40.541,7.375,19.895,0,55422
2019-04-16,180.054,1.892,0,1.013,39.291,9.938,20.737,8.919,60566
2019-04-17,171.541,2.865,0,1.559,41.014,10.812,19.158,18.649,62522
2019-04-18,218.345,2.993,0,2.525,66.047,10.188,18.053,19.932,50439
2019-04-19,125.514,1.784,0,1.866,52.399,10.5,19.368,7.838,60925
2019-04-20,195.149,2.095,0,1.65,54.392,11.625,21.632,10.946,51068
2019-04-21,264.155,3.034,0.007,1.041,60.709,12.5,24.579,20.541,53339
2019-04-22,163.331,1.331,0,1.508,52.23,15,25.789,3.311,63995
2019-04-23,137.034,3.155,0.142,1.115,52.804,15.25,24.053,25.811,58811
2019-04-24,128.845,3.878,0.5,1.455,68.986,13.438,20.842,50.608,55815
2019-04-25,105.838,3.453,0.405,2.659,67.399,8.812,15.737,38.446,22471
2019-04-26,57.047,3.149,0.426,3.201,62.365,7.375,15.684,35.541,26484
2019-04-27,230.209,1.689,0,1.549,54.696,9.438,17.263,6.892,65124
2019-04-28,213.912,2.919,0.054,1.145,51.486,11.25,20.105,21.216,56012
2019-04-29,126.858,2.899,0,1.256,50.709,11.562,21.684,18.986,63256
2019-04-30,233.723,2.865,0,1.417,55.845,11.25,22.105,18.649,70213
2019-05-01,311.333,1.833,0,4.733,39.167,10.4,22.667,8.333,76439
2019-05-02,282.267,1,0,3.197,37.083,11.312,24.789,0,72430
2019-05-03,185.831,1,0,1.544,46.048,12.562,26.316,0,73647
2019-05-04,209.774,1.137,0,1.145,47.534,12.875,24.895,1.37,66392
2019-05-05,229.257,2.216,0,1.805,40,9.875,22.263,12.162,66911
2019-05-06,316.338,1.932,0,4.042,34.527,9.062,21.105,9.324,74806
2019-05-07,255.297,1,0,2.808,37.669,10.062,21.632,0,70506
2019-05-08,208.142,1.601,0,2.646,47.432,11.062,22.579,6.014,70426
2019-05-09,221.574,2.682,0,2.13,42.77,12.312,25.263,16.824,71707
2019-05-10,218.574,2.027,0,1.24,43.209,13.875,27.158,10.27,74960
2019-05-11,257.405,2.216,0,1.332,38.581,15.062,28.053,12.162,76110
2019-05-12,233.608,1.264,0,0.927,31.554,15.312,27.316,2.635,73318
2019-05-13,177.446,2.142,0.061,1.728,39.122,14.375,26.105,13.243,68389
2019-05-14,211.595,1.608,0,1.51,44.764,15.062,27.579,6.081,78385
2019-05-15,218.574,1.372,0,0.954,46.892,16.125,28.579,3.716,76969
2019-05-16,185.946,1.365,0,1.278,45.169,17.312,28.947,3.649,75399
2019-05-17,185.223,2.331,0,1.088,47.196,17.812,27.684,13.311,79158
2019-05-18,122,2.851,0,2.534,46.385,17.438,24.158,18.514,79583
2019-05-19,131.412,3.595,0.486,2.932,60.338,15.125,21.632,42.703,12749
2019-05-20,241.885,2.703,0.439,4.072,58.784,13.062,22.105,33.649,72066
2019-05-21,233.399,1.365,0,3.784,51.385,13.125,25,3.649,80599
2019-05-22,211.885,1.128,0,2.55,49.764,14.875,27.789,1.284,80735
2019-05-23,195.966,1.014,0,1.978,50.541,17.125,30.737,0.135,78504
2019-05-24,187.48,1,0,2.042,51.216,18.562,31.368,0,77190
2019-05-25,188.372,1.723,0,1.932,47.804,18,28.737,7.23,75791
2019-05-26,188.689,1.858,0,2.27,40.405,16.75,24.526,8.581,74327
2019-05-27,190.764,3.736,0.541,4.716,72.736,14.125,23.737,49.73,30670
2019-05-28,291.662,1.304,0,3.189,47.027,13.625,25.684,3.041,83654
2019-05-29,245.318,1.054,0,2.265,47.027,14.812,25.737,0.541,83496
2019-05-30,200.926,2.068,0,2.206,48.885,15.25,24.737,10.676,73814
2019-05-31,227.331,1.993,0,2.45,49.02,14.688,25.632,9.932,83765
2019-06-01,179,3,0,2.35,45,16.4,28.333,20,79878
2019-06-02,217.033,1.683,0,1.848,43.75,17.062,29.053,6.833,77091
2019-06-03,207.911,1.113,0,1.728,44.113,17.812,29.421,1.129,82911
2019-06-04,213.452,1.767,0,2.155,51.712,18,28.368,7.671,83576
2019-06-05,240.568,2.041,0,1.641,61.284,18.312,27.526,10.405,81515
2019-06-06,173.23,3.169,0.014,1.44,59.831,17.938,25.632,22.162,36945
2019-06-07,58.986,3.966,0.655,4.609,72.027,17.438,26.211,58.851,54701
2019-06-08,223.568,2.216,0,1.817,60.101,17.312,26.105,12.162,83736
2019-06-09,186.885,3.338,0.331,1.67,67.162,16.125,25.368,30.878,60371
2019-06-10,94.986,3.547,0.568,2.236,66.014,15.688,25.579,48.041,63032
2019-06-11,111.088,2.459,0,1.866,56.892,16.312,27.053,14.595,85776
2019-06-12,210.108,1.081,0,1.699,62.128,17.375,27.632,0.811,83506
2019-06-13,242.209,1,0,1.721,58.919,18,27.316,0,81540
2019-06-14,294.696,1.98,0,1.587,60.27,17.688,27.211,9.797,85533
2019-06-15,275.696,2.838,0.061,2.226,64.459,17,26.789,20.203,71883
2019-06-16,127.453,1.324,0,1.787,61.25,17.562,26.316,3.243,81803
2019-06-17,215.101,1.919,0,2.034,62.162,18,26.474,9.189,86987
2019-06-18,199.52,2.784,0.162,2.372,68.176,18.25,26.737,23.243,42393
2019-06-19,242.689,3.581,0.365,1.828,72.027,18.812,27.158,39.257,79958
2019-06-20,254.446,3.149,0,1.692,67.23,18.75,27.263,21.554,88226
2019-06-21,255.568,3.074,0.27,1.109,70.676,18.188,28.053,30.27,81089
2019-06-22,69.128,2.581,0.108,1.883,53.581,18.5,29.632,19.054,85728
2019-06-23,153.155,2.351,0,0.957,50.946,19.375,30.789,13.514,79269
2019-06-24,213.635,1.405,0,1.403,54.324,19.938,31.842,4.054,88432
2019-06-25,246.784,1,0,1.105,52.399,20.625,31.158,0,88096
2019-06-26,152.912,1.736,0.047,0.852,52.669,21,29.263,8.784,81274
2019-06-27,170.804,3.635,0.358,0.753,70.135,21.062,29,37.838,79234
2019-06-28,210.939,3.635,0,1.506,64.189,20.625,27.737,26.486,77056
2019-06-29,177.574,4,0.304,1.43,68.716,20.562,27.842,38.919,67346
2019-06-30,240.047,3,0.108,2.028,68.615,19.938,28.684,21.081,74994
2020-04-01,169,1,0,3.25,35,5.4,16.833,0,70258
2020-04-02,277.733,1.7,0,2.292,42,5.5,15.368,7,72129
2020-04-03,209,1,0,2.504,50.081,4.875,14.053,0,74856
2020-04-04,295.192,1,0,4.004,37.397,2.375,14.053,0,66405
2020-04-05,321.622,1,0,3.04,24.831,3.375,15.684,0,64111
2020-04-06,266.811,1,0,2.084,39.392,5.188,16.316,0,68414
2020-04-07,217.081,2.108,0,2.317,53.176,4.375,15.737,11.081,73685
2020-04-08,310.25,1.216,0,3.387,28.581,4.5,15.211,2.162,72863
2020-04-09,298.709,1.973,0,2.659,39.865,5.625,15.684,9.73,73382
2020-04-10,173.041,1.824,0,1.858,46.622,6.562,16.211,8.108,75021
2020-04-11,232.486,1.716,0,1.928,50.101,5.688,15.842,7.162,75637
2020-04-12,68.824,2.054,0,3.395,52.939,5.125,18.474,10.811,63335
2020-04-13,157.297,1,0,2.763,35.068,6.688,19.789,0,77604
2020-04-14,208.811,1,0,2.011,36.284,8.062,21.316,0,83798
2020-04-15,205.473,1.216,0,1.749,42.128,9.625,21.789,2.162,89789
2020-04-16,136.203,1.176,0,1.776,38.649,10.562,19.842,1.757,83970
2020-04-17,153.196,3.797,0.534,3.066,60.068,9.625,17.632,46.892,35656
2020-04-18,271.419,3.426,0.02,2.83,60.946,10.125,19,24.865,92829
2020-04-19,108.432,2.993,0.142,1.93,57.939,8.625,15.526,25.068,29375
2020-04-20,221.662,3.628,0.196,2.37,66.419,5.75,11.842,32.162,56129
2020-04-21,288.101,1.628,0,4.194,44.155,3.688,10.158,6.284,58746
2020-04-22,294.034,2.385,0,5.176,42.5,3.938,12,13.851,51337
2020-04-23,301.419,2.338,0,3.87,48.446,5.312,14.789,13.378,64765
2020-04-24,245.723,1.743,0,3.642,49.284,8.438,16.632,7.432,72883
2020-04-25,237.628,2.311,0,4.559,46.959,7.188,17.789,13.108,78419
2020-04-26,299.703,1.378,0,3.857,42.736,6.812,18.158,3.784,82600
2020-04-27,265.054,1.939,0,2.2,50.507,7.75,19.158,9.392,77149
2020-04-28,240.392,1,0,2.524,47.027,9.438,21.105,0,86541
2020-04-29,199.777,1.149,0,2.808,44.899,11.5,23.263,1.486,88827
2020-04-30,195.324,1.689,0,2.534,50.743,15.125,25.632,6.892,96877
2020-05-01,224.333,1,0,2.8,60,17,24.167,0,93249
2020-05-02,208.867,3.8,0,1.987,70.833,17,23.316,28,88508
2020-05-03,108.298,3.976,0.194,1.985,67.661,16.25,25.684,35.565,89287
2020-05-04,229.562,3.493,0,2.008,61.233,14.375,24.895,24.932,93579
2020-05-05,189.986,1.608,0.02,1.858,54.291,13.125,25.105,6.689,88219
2020-05-06,250.23,1,0,1.834,49.73,13.562,25.842,0,88561
2020-05-07,119.872,1.608,0,2.114,30.845,13.75,23.737,6.081,90645
2020-05-08,161.561,3.534,0.081,2.121,29.426,14.062,22.158,27.77,63474
2020-05-09,144.142,4,1,4.192,80.034,13.938,21.158,82.162,7600
2020-05-10,224.473,2.703,0.358,2.78,74.865,12.375,21.158,31.351,65932
2020-05-11,230.743,2.885,0,3.061,58.311,11.75,20.526,18.851,76042
2020-05-12,235.858,2.088,0.101,3.16,63.277,11.375,21.368,15,78200
2020-05-13,247.392,1,0,3.047,54.797,12.688,22.526,0,89183
2020-05-14,181.52,2.5,0,2.219,43.446,15.438,21.842,15,89149
2020-05-15,140.966,3.865,0.723,3.804,69.122,15.875,22.263,61.216,13782
2020-05-16,194.676,3.676,0.331,1.889,77.635,15.562,24.105,38.041,64549
2020-05-17,191.311,3.514,0.027,1.916,74.493,15.375,23.421,26.081,89449
2020-05-18,154.453,3.905,0.351,3.511,75.473,12.688,20.211,45.554,36761
2020-05-19,188.635,3.635,0.432,4.036,76.622,11.125,18.789,46.284,55556
2020-05-20,169.061,2.986,0,2.42,65.946,11.625,22.158,19.865,88257
2020-05-21,93.851,2.203,0,1.617,61.52,14.438,23.579,12.027,93930
2020-05-22,133.608,3.338,0.088,1.916,66.453,15.25,24.105,26.014,89317
2020-05-23,182.074,2.331,0.074,1.791,68.514,14.812,22.737,15.541,101256
2020-05-24,217.676,3.628,0.243,3.701,78.412,14.375,22.474,34.122,80357
2020-05-25,232.25,1.878,0,1.802,73.682,13.75,22.632,8.784,92531
2020-05-26,233.439,2.493,0.223,1.739,76.014,13.688,23.158,21.622,68498
2020-05-27,280.223,1.378,0,2.103,70.236,13.812,23.895,3.784,101949
2020-05-28,224.176,2.527,0.007,1.862,70.236,15.312,25.632,15.473,99792
2020-05-29,232.324,1.162,0,1.634,63.716,16.625,27.526,1.622,103999
2020-05-30,187.155,1.108,0,1.772,56.115,17.062,27.263,1.081,105172
2020-05-31,196.223,1.811,0,1.886,62.669,16.375,25.053,8.108,93547
2020-06-01,248.5,1,0,2.85,47.5,15.8,24.333,0,99930
2020-06-02,182.6,3.333,0.533,3.592,72.75,16.938,25.211,47.967,79833
2020-06-03,214.637,2.556,0.169,2.248,72.298,18.062,26.632,21.452,103887
2020-06-04,231.925,2.041,0.164,2.145,74.384,17.938,27.737,15.342,97656
2020-06-05,260.216,1.135,0,1.699,64.189,18.812,29.316,1.351,107343
2020-06-06,133.331,1.311,0,1.722,54.831,19.312,30.053,3.108,105033
2020-06-07,203.358,1.635,0,1.82,56.993,19.438,30.737,6.351,101848
2020-06-08,233.554,1.054,0,1.689,58.919,20.062,32.158,0.541,103582
2020-06-09,224.75,1,0,1.724,51.824,20.812,32.789,0,102084
2020-06-10,198.358,1.682,0.061,1.728,58.142,21,31.263,8.649,58133
2020-06-11,252.412,1.784,0.068,1.882,67.77,21,29.632,9.865,100031
2020-06-12,220.311,2.5,0,1.681,64.122,20.688,29,15,109210
2020-06-13,192.122,3.791,0.162,1.672,72.061,20.062,29.105,33.311,90396
2020-06-14,235.25,2.547,0.358,2.3,71.351,18.562,28.211,28.311,94406
2020-06-15,225.142,1,0,2.444,63.345,18.812,29,0,108320
2020-06-16,195.736,1,0,1.761,63.649,19.312,29.263,0,106519
2020-06-17,194.743,1.716,0,1.84,56.351,20,28.737,7.162,107723
2020-06-18,211.034,2.27,0,1.69,65.946,20,29.368,12.703,110377
2020-06-19,82.703,2.527,0.115,1.818,62.973,20.312,30.211,18.243,109124
2020-06-20,183.311,1.5,0,1.836,63.277,20.438,31.579,5,102333
2020-06-21,255.5,1.203,0,1.551,61.723,21.625,33.421,2.027,95453
2020-06-22,262.905,1,0,1.571,52.365,22.25,31.053,0,98394
2020-06-23,238.378,1.818,0,1.7,55.541,22.312,26.947,8.176,103214
2020-06-24,124.797,3.973,0.716,3.203,76.182,21.375,26.421,62.5,19756
2020-06-25,143.777,4,0.75,2.447,84.527,20.688,27.316,54.054,46415
2020-06-26,228.662,3.98,0.223,2.271,78.378,20.5,27.526,36.486,96150
2020-06-27,207.77,2.865,0.081,1.794,78.412,20.812,28.842,21.081,107001
2020-06-28,282.568,1.73,0,1.82,72.736,21,29.053,7.297,98568
2020-06-29,137.027,2.257,0.088,2.043,70.473,19.625,26,15.541,70053
2020-06-30,120.797,3.622,0.432,5.574,77.061,19.125,26.053,41.284,38086
